Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
SL2,29:05:2017,54061.500,15:01:01.500,-03,32.3044543,-64.8442236,218.0,0.0,0.0,244.3,1.01,250.6,13.6,0.0,1.0,13.3,249.3,11.5,20.0,12.1,0.0,0.0,0.0
SL2,29:05:2017,54062.000,15:01:02.000,-03,32.3044527,-64.8442241,218.7,0.0,0.0,256.6,1.22,250.6,13.6,0.0,1.2,13.3,249.3,11.5,20.0,12.1,0.0,0.0,0.0
SL2,29:05:2017,54062.500,15:01:02.500,-03,32.3044503,-64.8442213,219.2,0.0,0.0,149.4,1.13,250.6,13.6,0.0,1.1,13.4,250.1,13.6,30.0,14.3,0.0,0.0,0.0
SL2,29:05:2017,54063.000,15:01:03.000,-03,32.3044490,-64.8442187,220.0,0.0,0.0,129.0,1.38,250.6,13.6,0.0,1.4,13.4,250.1,13.6,30.0,14.3,0.0,0.0,0.0
SL2,29:05:2017,54063.500,15:01:03.500,-03,32.3044480,-64.8442198,220.8,0.0,0.0,119.1,0.21,250.6,13.6,0.0,0.2,13.3,250.5,12.0,28.0,15.8,0.0,0.0,0.0
SL2,29:05:2017,54064.000,15:01:04.000,-03,32.3044452,-64.8442204,221.4,0.0,0.0,210.5,1.11,250.6,13.6,0.0,1.1,13.3,250.5,12.0,28.0,15.8,0.0,0.0,0.0
SL2,29:05:2017,54064.500,15:01:04.500,-03,32.3044434,-64.8442194,222.2,0.0,0.0,187.1,1.17,250.6,13.6,0.0,1.2,13.3,251.0,13.9,25.0,17.2,0.0,0.0,0.0
SL2,29:05:2017,54065.000,15:01:05.000,-03,32.3044421,-64.8442179,222.9,0.0,0.0,112.5,0.82,250.6,13.6,0.0,0.8,13.3,251.0,13.9,25.0,17.2,0.0,0.0,0.0
SL2,29:05:2017,54065.500,15:01:05.500,-03,32.3044407,-64.8442162,223.4,0.0,0.0,158.5,0.58,250.6,13.6,0.0,0.6,13.3,251.6,12.9,26.0,18.3,0.0,0.0,0.0
SL2,29:05:2017,54066.000,15:01:06.000,-03,32.3044377,-64.8442163,223.8,0.0,0.0,136.8,1.07,250.6,13.5,0.0,1.1,13.3,251.6,12.9,26.0,18.3,0.0,0.0,0.0
SL2,29:05:2017,54066.500,15:01:06.500,-03,32.3044349,-64.8442176,224.7,0.0,0.0,194.7,2.08,250.6,13.5,0.0,2.1,13.3,252.8,14.1,27.0,20.0,0.0,0.0,0.0
SL2,29:05:2017,54067.000,15:01:07.000,-03,32.3044373,-64.8442148,225.0,0.0,0.0,347.0,0.49,250.6,13.5,0.0,0.5,13.3,252.8,14.1,27.0,20.0,0.0,0.0,0.0
SL2,29:05:2017,54067.500,15:01:07.500,-03,32.3044344,-64.8442129,225.2,0.0,0.0,64.3,1.87,250.6,13.5,0.0,1.9,13.3,253.0,11.8,28.0,20.6,0.0,0.0,0.0
SL2,29:05:2017,54068.000,15:01:08.000,-03,32.3044301,-64.8442141,225.7,0.0,0.0,192.3,2.68,250.6,13.5,0.0,2.7,13.3,253.0,11.8,28.0,20.6,0.0,0.0,0.0
SL2,29:05:2017,54068.500,15:01:08.500,-03,32.3044301,-64.8442124,226.4,0.0,0.0,145.2,0.95,250.6,13.5,0.0,1.0,13.4,252.7,13.8,16.0,20.5,0.0,0.0,0.0
SL2,29:05:2017,54069.000,15:01:09.000,-03,32.3044302,-64.8442124,227.5,0.0,0.0,60.3,0.70,250.6,13.5,0.0,0.7,13.4,252.7,13.8,16.0,20.5,0.0,0.0,0.0
SL2,29:05:2017,54069.500,15:01:09.500,-03,32.3044279,-64.8442118,229.0,0.0,0.0,200.1,0.74,250.6,13.5,0.0,0.7,13.4,253.9,13.7,27.0,21.5,0.0,0.0,0.0
SL2,29:05:2017,54070.000,15:01:10.000,-03,32.3044270,-64.8442108,230.3,0.0,0.0,148.2,0.54,250.6,13.4,0.0,0.6,13.4,253.9,13.7,27.0,21.5,0.0,0.0,0.0
SL2,29:05:2017,54070.500,15:01:10.500,-03,32.3044234,-64.8442101,231.7,0.0,0.0,158.5,0.54,250.6,13.4,0.0,0.5,13.3,254.3,12.4,19.0,21.5,0.0,0.0,0.0
SL2,29:05:2017,54071.000,15:01:11.000,-03,32.3044210,-64.8442083,233.0,0.0,0.0,179.5,1.67,250.6,13.4,0.0,1.7,13.3,254.3,12.4,19.0,21.5,0.0,0.0,0.0
SL2,29:05:2017,54071.500,15:01:11.500,-03,32.3044229,-64.8442079,234.8,0.0,0.0,89.6,0.86,250.6,13.4,0.0,0.9,13.4,255.1,13.1,22.0,21.6,0.0,0.0,0.0
SL2,29:05:2017,54072.000,15:01:12.000,-03,32.3044206,-64.8442100,237.7,0.0,0.0,313.7,1.03,250.6,13.4,0.0,1.0,13.4,255.1,13.1,22.0,21.6,0.0,0.0,0.0
SL2,29:05:2017,54072.500,15:01:12.500,-03,32.3044163,-64.8442063,239.5,0.0,0.0,184.4,2.80,250.6,13.4,0.0,2.8,13.4,257.3,14.2,19.0,22.4,0.0,0.0,0.0
SL2,29:05:2017,54073.000,15:01:13.000,-03,32.3044177,-64.8442058,241.7,0.0,0.0,105.0,1.81,250.6,13.4,0.0,1.8,13.4,257.3,14.2,19.0,22.4,0.0,0.0,0.0
SL2,29:05:2017,54073.500,15:01:13.500,-03,32.3044161,-64.8442073,245.2,0.0,0.0,301.6,1.52,250.6,13.4,0.0,1.5,13.1,258.5,11.8,21.0,21.9,0.0,0.0,0.0
SL2,29:05:2017,54074.000,15:01:14.000,-03,32.3044123,-64.8442029,247.8,0.0,0.0,158.0,1.85,250.6,13.4,0.0,1.9,13.1,258.5,11.8,21.0,21.9,0.0,0.0,0.0
SL2,29:05:2017,54074.500,15:01:14.500,-03,32.3044137,-64.8442042,249.9,0.0,0.0,113.8,1.50,250.6,13.3,0.0,1.5,13.1,258.8,11.6,2.0,20.3,0.0,0.0,0.0
SL2,29:05:2017,54075.000,15:01:15.000,-03,32.3044140,-64.8442059,252.5,0.0,0.0,315.2,2.24,250.6,13.3,0.0,2.2,13.1,258.8,11.6,2.0,20.3,0.0,0.0,0.0
SL2,29:05:2017,54075.500,15:01:15.500,-03,32.3044086,-64.8442036,254.7,0.0,0.0,180.7,1.40,250.6,13.3,0.0,1.4,13.2,259.6,14.4,0.0,18.8,0.0,0.0,0.0
SL2,29:05:2017,54076.000,15:01:16.000,-03,32.3044086,-64.8442017,256.9,0.0,0.0,141.3,2.29,250.6,13.3,0.0,2.3,13.2,259.6,14.4,0.0,18.8,0.0,0.0,0.0
SL2,29:05:2017,54076.500,15:01:16.500,-03,32.3044108,-64.8442049,259.9,0.0,0.0,340.2,1.79,250.6,13.3,0.0,1.8,13.2,258.3,13.2,-11.0,15.1,0.0,0.0,0.0
SL2,29:05:2017,54077.000,15:01:17.000,-03,32.3044083,-64.8442054,263.1,0.0,0.0,271.6,1.42,250.6,13.3,0.0,1.4,13.2,258.3,13.2,-11.0,15.1,0.0,0.0,0.0
SL2,29:05:2017,54077.500,15:01:17.500,-03,32.3044063,-64.8442038,265.3,0.0,0.0,148.1,1.36,250.6,13.3,0.0,1.4,13.4,258.8,14.8,-13.0,12.7,0.0,0.0,0.0
SL2,29:05:2017,54078.000,15:01:18.000,-03,32.3044065,-64.8442039,267.2,0.0,0.0,157.7,0.54,250.6,13.3,0.0,0.6,13.4,258.8,14.8,-13.0,12.7,0.0,0.0,0.0
SL2,29:05:2017,54078.500,15:01:18.500,-03,32.3044077,-64.8442053,269.1,0.0,0.0,337.3,0.68,250.6,13.2,0.0,0.7,13.4,258.8,13.8,-12.0,10.0,0.0,0.0,0.0
SL2,29:05:2017,54079.000,15:01:19.000,-03,32.3044075,-64.8442066,271.1,0.0,0.0,303.0,0.87,250.6,13.2,0.0,0.9,13.4,258.8,13.8,-12.0,10.0,0.0,0.0,0.0
SL2,29:05:2017,54079.500,15:01:19.500,-03,32.3044061,-64.8442057,272.6,0.0,0.0,27.6,0.06,250.6,13.2,0.0,0.1,13.6,258.7,15.3,-21.0,6.9,0.0,0.0,0.0
SL2,29:05:2017,54080.000,15:01:20.000,-03,32.3044054,-64.8442051,274.0,0.0,0.0,167.5,1.28,250.6,13.2,0.0,1.3,13.6,258.7,15.3,-21.0,6.9,0.0,0.0,0.0
SL2,29:05:2017,54080.500,15:01:20.500,-03,32.3044108,-64.8442060,275.3,0.0,0.0,1.3,1.40,250.6,13.2,0.0,1.4,13.6,258.3,13.1,-19.0,3.7,0.0,0.0,0.0
SL2,29:05:2017,54081.000,15:01:21.000,-03,32.3044118,-64.8442078,277.1,0.0,0.0,343.2,2.35,250.6,13.2,0.0,2.4,13.6,258.3,13.1,-19.0,3.7,0.0,0.0,0.0
SL2,29:05:2017,54081.500,15:01:21.500,-03,32.3044067,-64.8442074,278.5,0.0,0.0,193.9,1.81,250.6,13.2,0.0,1.8,13.6,259.0,14.0,-26.0,1.4,0.0,0.0,0.0
SL2,29:05:2017,54082.000,15:01:22.000,-03,32.3044090,-64.8442057,279.6,0.0,0.0,159.2,1.71,250.6,13.2,0.0,1.7,13.6,259.0,14.0,-26.0,1.4,0.0,0.0,0.0
SL2,29:05:2017,54082.500,15:01:22.500,-03,32.3044187,-64.8442057,281.0,0.0,0.0,8.2,4.16,250.6,13.2,0.0,4.2,13.1,266.8,13.0,-25.0,-2.2,0.0,0.0,0.0
SL2,29:05:2017,54083.000,15:01:23.000,-03,32.3044151,-64.8442089,283.1,0.0,0.0,350.5,2.72,250.6,13.2,0.0,2.7,13.1,266.8,13.0,-25.0,-2.2,0.0,0.0,0.0
SL2,29:05:2017,54083.500,15:01:23.500,-03,32.3044101,-64.8442083,284.7,0.0,0.0,197.0,4.61,250.6,13.2,0.0,4.6,12.9,256.1,14.8,-30.0,-6.0,0.0,0.0,0.0
SL2,29:05:2017,54084.000,15:01:24.000,-03,32.3044183,-64.8442059,285.4,0.0,0.0,58.8,1.87,250.6,13.2,0.0,1.9,12.9,256.1,14.8,-30.0,-6.0,0.0,0.0,0.0
SL2,29:05:2017,54084.500,15:01:24.500,-03,32.3044224,-64.8442087,288.2,0.0,0.0,355.5,5.05,250.6,13.2,0.0,5.1,12.3,262.4,11.7,-25.0,-9.4,0.0,0.0,0.0
SL2,29:05:2017,54085.000,15:01:25.000,-03,32.3044166,-64.8442099,289.5,0.0,0.0,219.2,1.38,250.6,13.2,0.0,1.4,12.3,262.4,11.7,-25.0,-9.4,0.0,0.0,0.0
SL2,29:05:2017,54085.500,15:01:25.500,-03,32.3044191,-64.8442099,289.2,0.0,0.0,186.2,1.89,250.6,13.2,0.0,1.9,12.6,262.6,15.3,-37.0,-11.5,0.0,0.0,0.0
SL2,29:05:2017,54086.000,15:01:26.000,-03,32.3044272,-64.8442080,287.8,0.0,0.0,3.9,3.85,250.6,13.2,0.0,3.9,12.6,262.6,15.3,-37.0,-11.5,0.0,0.0,0.0
SL2,29:05:2017,54086.500,15:01:26.500,-03,32.3044268,-64.8442096,286.8,0.0,0.0,14.9,1.85,250.6,13.2,0.0,1.9,12.7,263.0,13.7,-15.0,-12.6,0.0,0.0,0.0
SL2,29:05:2017,54087.000,15:01:27.000,-03,32.3044230,-64.8442129,285.3,0.0,0.0,216.9,2.66,250.6,13.2,0.0,2.7,12.7,263.0,13.7,-15.0,-12.6,0.0,0.0,0.0
SL2,29:05:2017,54087.500,15:01:27.500,-03,32.3044288,-64.8442115,283.3,0.0,0.0,215.0,0.76,250.6,13.2,0.0,0.8,13.0,261.9,16.0,-35.0,-14.6,0.0,0.0,0.0
SL2,29:05:2017,54088.000,15:01:28.000,-03,32.3044356,-64.8442101,281.5,0.0,0.0,13.4,4.51,250.6,13.2,0.0,4.5,13.0,261.9,16.0,-35.0,-14.6,0.0,0.0,0.0
SL2,29:05:2017,54088.500,15:01:28.500,-03,32.3044331,-64.8442137,280.9,0.0,0.0,326.0,0.64,250.6,13.2,0.0,0.7,13.0,262.2,13.6,-16.0,-15.0,0.0,0.0,0.0
SL2,29:05:2017,54089.000,15:01:29.000,-03,32.3044324,-64.8442151,279.8,0.0,0.0,226.5,2.47,250.6,13.2,0.0,2.5,13.0,262.2,13.6,-16.0,-15.0,0.0,0.0,0.0
SL2,29:05:2017,54089.500,15:01:29.500,-03,32.3044381,-64.8442128,278.1,0.0,0.0,21.7,1.54,250.6,13.2,0.0,1.5,13.4,261.0,15.5,-26.0,-16.5,0.0,0.0,0.0
SL2,29:05:2017,54090.000,15:01:30.000,-03,32.3044406,-64.8442127,276.9,0.0,0.0,16.8,2.49,250.6,13.2,0.0,2.5,13.4,261.0,15.5,-26.0,-16.5,0.0,0.0,0.0
SL2,29:05:2017,54090.500,15:01:30.500,-03,32.3044410,-64.8442166,276.2,0.0,0.0,274.9,0.74,250.6,13.2,0.0,0.7,13.4,261.4,14.1,-14.0,-16.3,0.0,0.0,0.0
SL2,29:05:2017,54091.000,15:01:31.000,-03,32.3044414,-64.8442177,275.3,0.0,0.0,265.6,1.63,250.6,13.2,0.0,1.6,13.4,261.4,14.1,-14.0,-16.3,0.0,0.0,0.0
SL2,29:05:2017,54091.500,15:01:31.500,-03,32.3044450,-64.8442156,273.6,0.0,0.0,53.6,0.86,250.6,13.2,0.0,0.9,13.6,260.7,15.0,-20.0,-16.8,0.0,0.0,0.0
SL2,29:05:2017,54092.000,15:01:32.000,-03,32.3044479,-64.8442159,272.3,0.0,0.0,12.9,1.75,250.6,13.2,0.0,1.8,13.6,260.7,15.0,-20.0,-16.8,0.0,0.0,0.0
SL2,29:05:2017,54092.500,15:01:32.500,-03,32.3044474,-64.8442188,271.6,0.0,0.0,317.7,0.84,250.6,13.2,0.0,0.8,13.7,260.6,14.8,-12.0,-16.6,0.0,0.0,0.0
SL2,29:05:2017,54093.000,15:01:33.000,-03,32.3044497,-64.8442205,270.2,0.0,0.0,243.9,1.40,250.6,13.2,0.0,1.4,13.7,260.6,14.8,-12.0,-16.6,0.0,0.0,0.0
SL2,29:05:2017,54093.500,15:01:33.500,-03,32.3044546,-64.8442187,268.1,0.0,0.0,4.0,2.64,250.6,13.2,0.0,2.7,14.0,259.4,15.9,-13.0,-17.1,0.0,0.0,0.0
SL2,29:05:2017,54094.000,15:01:34.000,-03,32.3044528,-64.8442200,266.3,0.0,0.0,60.7,0.56,250.6,13.2,0.0,0.6,14.0,259.4,15.9,-13.0,-17.1,0.0,0.0,0.0
SL2,29:05:2017,54094.500,15:01:34.500,-03,32.3044536,-64.8442226,264.2,0.0,0.0,221.8,1.87,250.6,13.3,0.0,1.9,14.0,259.0,15.8,-14.0,-16.4,0.0,0.0,0.0
SL2,29:05:2017,54095.000,15:01:35.000,-03,32.3044598,-64.8442215,261.8,0.0,0.0,353.7,1.57,250.6,13.3,0.0,1.6,14.0,259.0,15.8,-14.0,-16.4,0.0,0.0,0.0
SL2,29:05:2017,54095.500,15:01:35.500,-03,32.3044613,-64.8442218,260.4,0.0,0.0,10.3,2.78,250.6,13.3,0.0,2.8,14.3,258.0,15.1,-3.0,-16.0,0.0,0.0,0.0
SL2,29:05:2017,54096.000,15:01:36.000,-03,32.3044566,-64.8442235,259.3,0.0,0.0,199.3,1.63,250.6,13.3,0.0,1.6,14.3,258.0,15.1,-3.0,-16.0,0.0,0.0,0.0
SL2,29:05:2017,54096.500,15:01:36.500,-03,32.3044587,-64.8442238,257.9,0.0,0.0,204.4,1.67,250.6,13.3,0.0,1.7,14.3,257.5,15.7,-12.0,-15.1,0.0,0.0,0.0
SL2,29:05:2017,54097.000,15:01:37.000,-03,32.3044664,-64.8442238,256.6,0.0,0.0,6.7,3.07,250.6,13.3,0.0,3.1,14.3,257.5,15.7,-12.0,-15.1,0.0,0.0,0.0
SL2,29:05:2017,54097.500,15:01:37.500,-03,32.3044663,-64.8442249,256.6,0.0,0.0,353.7,2.49,250.6,13.3,0.0,2.5,14.2,257.3,13.7,7.0,-14.0,0.0,0.0,0.0
SL2,29:05:2017,54098.000,15:01:38.000,-03,32.3044595,-64.8442252,256.1,0.0,0.0,190.7,2.72,250.6,13.4,0.0,2.7,14.2,257.3,13.7,7.0,-14.0,0.0,0.0,0.0
SL2,29:05:2017,54098.500,15:01:38.500,-03,32.3044624,-64.8442247,255.2,0.0,0.0,169.7,1.90,250.6,13.4,0.0,1.9,14.3,257.1,14.9,-10.0,-12.8,0.0,0.0,0.0
SL2,29:05:2017,54099.000,15:01:39.000,-03,32.3044705,-64.8442259,254.4,0.0,0.0,1.8,3.87,250.6,13.4,0.0,3.9,14.3,257.1,14.9,-10.0,-12.8,0.0,0.0,0.0
SL2,29:05:2017,54099.500,15:01:39.500,-03,32.3044676,-64.8442272,255.1,0.0,0.0,332.0,2.33,250.6,13.4,0.0,2.3,14.2,257.5,14.5,11.0,-11.3,0.0,0.0,0.0
SL2,29:05:2017,54100.000,15:01:40.000,-03,32.3044619,-64.8442258,254.6,0.0,0.0,174.6,3.91,250.6,13.4,0.0,3.9,14.2,257.5,14.5,11.0,-11.3,0.0,0.0,0.0
SL2,29:05:2017,54100.500,15:01:40.500,-03,32.3044673,-64.8442260,253.7,0.0,0.0,59.1,0.25,250.6,13.4,0.0,0.3,14.2,256.8,14.0,-7.0,-10.9,0.0,0.0,0.0
SL2,29:05:2017,54101.000,15:01:41.000,-03,32.3044705,-64.8442274,252.7,0.0,0.0,354.8,3.03,250.6,13.5,0.0,3.0,14.2,256.8,14.0,-7.0,-10.9,0.0,0.0,0.0
SL2,29:05:2017,54101.500,15:01:41.500,-03,32.3044674,-64.8442275,251.5,0.0,0.0,202.8,0.74,250.6,13.5,0.0,0.8,14.1,257.9,13.7,11.0,-8.4,0.0,0.0,0.0
SL2,29:05:2017,54102.000,15:01:42.000,-03,32.3044673,-64.8442270,249.5,0.0,0.0,169.2,1.56,250.6,13.5,0.0,1.6,14.1,257.9,13.7,11.0,-8.4,0.0,0.0,0.0
SL2,29:05:2017,54102.500,15:01:42.500,-03,32.3044698,-64.8442276,247.2,0.0,0.0,5.1,1.03,250.6,13.5,0.0,1.0,14.0,257.2,12.3,6.0,-7.4,0.0,0.0,0.0
SL2,29:05:2017,54103.000,15:01:43.000,-03,32.3044703,-64.8442274,245.0,0.0,0.0,339.6,0.78,250.6,13.5,0.0,0.8,14.0,257.2,12.3,6.0,-7.4,0.0,0.0,0.0
SL2,29:05:2017,54103.500,15:01:43.500,-03,32.3044683,-64.8442262,242.7,0.0,0.0,131.5,0.80,250.6,13.6,0.0,0.8,13.9,257.5,12.5,14.0,-5.0,0.0,0.0,0.0
SL2,29:05:2017,54104.000,15:01:44.000,-03,32.3044686,-64.8442280,239.9,0.0,0.0,177.8,1.15,250.6,13.6,0.0,1.2,13.9,257.5,12.5,14.0,-5.0,0.0,0.0,0.0
SL2,29:05:2017,54104.500,15:01:44.500,-03,32.3044715,-64.8442282,237.0,0.0,0.0,319.3,1.24,250.6,13.6,0.0,1.3,13.8,256.7,13.3,17.0,-3.3,0.0,0.0,0.0
SL2,29:05:2017,54105.000,15:01:45.000,-03,32.3044707,-64.8442266,234.7,0.0,0.0,56.6,1.13,250.6,13.6,0.0,1.1,13.8,256.7,13.3,17.0,-3.3,0.0,0.0,0.0
SL2,29:05:2017,54105.500,15:01:45.500,-03,32.3044669,-64.8442265,232.4,0.0,0.0,171.9,1.50,250.6,13.6,0.0,1.5,13.6,257.3,12.5,21.0,-0.2,0.0,0.0,0.0
SL2,29:05:2017,54106.000,15:01:46.000,-03,32.3044675,-64.8442258,230.2,0.0,0.0,170.1,1.36,250.6,13.6,0.0,1.4,13.6,257.3,12.5,21.0,-0.2,0.0,0.0,0.0
SL2,29:05:2017,54106.500,15:01:46.500,-03,32.3044693,-64.8442258,228.5,0.0,0.0,11.4,1.38,250.6,13.7,0.0,1.4,13.6,256.7,13.0,27.0,2.0,0.0,0.0,0.0
SL2,29:05:2017,54107.000,15:01:47.000,-03,32.3044677,-64.8442262,227.3,0.0,0.0,298.4,0.19,250.6,13.7,0.0,0.2,13.6,256.7,13.0,27.0,2.0,0.0,0.0,0.0
SL2,29:05:2017,54107.500,15:01:47.500,-03,32.3044655,-64.8442258,226.0,0.0,0.0,182.3,1.32,250.6,13.7,0.0,1.3,13.6,256.8,14.1,24.0,4.7,0.0,0.0,0.0
SL2,29:05:2017,54108.000,15:01:48.000,-03,32.3044641,-64.8442247,224.8,0.0,0.0,141.5,1.07,250.6,13.7,0.0,1.1,13.6,256.8,14.1,24.0,4.7,0.0,0.0,0.0
SL2,29:05:2017,54108.500,15:01:48.500,-03,32.3044629,-64.8442240,223.8,0.0,0.0,158.3,0.80,250.6,13.7,0.0,0.8,13.7,256.7,13.8,27.0,7.3,0.0,0.0,0.0
SL2,29:05:2017,54109.000,15:01:49.000,-03,32.3044626,-64.8442239,222.9,0.0,0.0,139.3,0.74,250.6,13.7,0.0,0.8,13.7,256.7,13.8,27.0,7.3,0.0,0.0,0.0
SL2,29:05:2017,54109.500,15:01:49.500,-03,32.3044602,-64.8442248,222.3,0.0,0.0,250.5,0.45,250.6,13.7,0.0,0.5,13.5,257.2,12.9,36.0,10.2,0.0,0.0,0.0
SL2,29:05:2017,54110.000,15:01:50.000,-03,32.3044575,-64.8442249,221.7,0.0,0.0,192.2,1.52,250.6,13.7,0.0,1.5,13.5,257.2,12.9,36.0,10.2,0.0,0.0,0.0
SL2,29:05:2017,54110.500,15:01:50.500,-03,32.3044564,-64.8442242,221.1,0.0,0.0,164.4,0.74,250.6,13.7,0.0,0.7,13.6,257.1,13.9,29.0,12.4,0.0,0.0,0.0
SL2,29:05:2017,54111.000,15:01:51.000,-03,32.3044553,-64.8442233,220.5,0.0,0.0,129.9,0.64,250.6,13.7,0.0,0.7,13.6,257.1,13.9,29.0,12.4,0.0,0.0,0.0
SL2,29:05:2017,54111.500,15:01:51.500,-03,32.3044520,-64.8442232,220.3,0.0,0.0,165.5,0.99,250.6,13.7,0.0,1.0,13.6,257.2,13.9,31.0,14.6,0.0,0.0,0.0
SL2,29:05:2017,54112.000,15:01:52.000,-03,32.3044501,-64.8442227,220.2,0.0,0.0,185.3,1.56,250.6,13.7,0.0,1.6,13.6,257.2,13.9,31.0,14.6,0.0,0.0,0.0
SL2,29:05:2017,54112.500,15:01:52.500,-03,32.3044501,-64.8442213,219.8,0.0,0.0,92.5,0.60,250.6,13.7,0.0,0.6,13.6,257.1,13.2,33.0,16.5,0.0,0.0,0.0
SL2,29:05:2017,54113.000,15:01:53.000,-03,32.3044476,-64.8442218,219.7,0.0,0.0,177.3,0.45,250.6,13.7,0.0,0.5,13.6,257.1,13.2,33.0,16.5,0.0,0.0,0.0
SL2,29:05:2017,54113.500,15:01:53.500,-03,32.3044448,-64.8442192,220.0,0.0,0.0,177.6,1.56,250.6,13.7,0.0,1.6,13.7,257.9,14.3,35.0,19.0,0.0,0.0,0.0
SL2,29:05:2017,54114.000,15:01:54.000,-03,32.3044437,-64.8442170,220.7,0.0,0.0,105.7,1.32,250.6,13.7,0.0,1.3,13.7,257.9,14.3,35.0,19.0,0.0,0.0,0.0
SL2,29:05:2017,54114.500,15:01:54.500,-03,32.3044409,-64.8442181,221.9,0.0,0.0,174.7,1.05,250.6,13.7,0.0,1.1,13.7,258.5,14.0,32.0,20.8,0.0,0.0,0.0
SL2,29:05:2017,54115.000,15:01:55.000,-03,32.3044409,-64.8442182,223.0,0.0,0.0,214.8,0.91,250.6,13.7,0.0,0.9,13.7,258.5,14.0,32.0,20.8,0.0,0.0,0.0
SL2,29:05:2017,54115.500,15:01:55.500,-03,32.3044376,-64.8442144,223.4,0.0,0.0,94.9,0.78,250.6,13.7,0.0,0.8,13.8,258.5,13.9,30.0,21.8,0.0,0.0,0.0
SL2,29:05:2017,54116.000,15:01:56.000,-03,32.3044348,-64.8442138,223.4,0.0,0.0,149.1,2.57,250.6,13.7,0.0,2.6,13.8,258.5,13.9,30.0,21.8,0.0,0.0,0.0
SL2,29:05:2017,54116.500,15:01:56.500,-03,32.3044342,-64.8442155,224.0,0.0,0.0,267.2,0.86,250.6,13.6,0.0,0.9,13.8,257.5,14.1,22.0,21.7,0.0,0.0,0.0
SL2,29:05:2017,54117.000,15:01:57.000,-03,32.3044313,-64.8442136,224.8,0.0,0.0,196.8,0.74,250.6,13.6,0.0,0.7,13.8,257.5,14.1,22.0,21.7,0.0,0.0,0.0
SL2,29:05:2017,54117.500,15:01:57.500,-03,32.3044289,-64.8442103,225.1,0.0,0.0,133.8,1.85,250.6,13.6,0.0,1.9,13.9,257.3,14.3,20.0,22.1,0.0,0.0,0.0
SL2,29:05:2017,54118.000,15:01:58.000,-03,32.3044284,-64.8442128,225.8,0.0,0.0,142.1,0.74,250.6,13.6,0.0,0.7,13.9,257.3,14.3,20.0,22.1,0.0,0.0,0.0
SL2,29:05:2017,54118.500,15:01:58.500,-03,32.3044263,-64.8442130,227.2,0.0,0.0,258.3,1.40,250.6,13.6,0.0,1.4,13.9,256.7,15.6,19.0,21.8,0.0,0.0,0.0
SL2,29:05:2017,54119.000,15:01:59.000,-03,32.3044227,-64.8442113,228.0,0.0,0.0,147.7,1.77,250.6,13.6,0.0,1.8,13.9,256.7,15.6,19.0,21.8,0.0,0.0,0.0
SL2,29:05:2017,54119.500,15:01:59.500,-03,32.3044218,-64.8442088,228.9,0.0,0.0,160.3,1.03,250.6,13.6,0.0,1.0,14.1,255.8,15.7,11.0,21.1,0.0,0.0,0.0
SL2,29:05:2017,54120.000,15:02:00.000,-03,32.3044203,-64.8442088,230.0,0.0,0.0,109.2,0.87,250.6,13.6,0.0,0.9,14.1,255.8,15.7,11.0,21.1,0.0,0.0,0.0
SL2,29:05:2017,54120.500,15:02:00.500,-03,32.3044191,-64.8442107,231.2,0.0,0.0,255.9,1.19,250.6,13.6,0.0,1.2,14.1,256.1,15.0,23.0,21.3,0.0,0.0,0.0
SL2,29:05:2017,54121.000,15:02:01.000,-03,32.3044163,-64.8442093,232.2,0.0,0.0,190.5,0.64,250.6,13.6,0.0,0.6,14.1,256.1,15.0,23.0,21.3,0.0,0.0,0.0
SL2,29:05:2017,54121.500,15:02:01.500,-03,32.3044142,-64.8442078,233.0,0.0,0.0,158.2,1.28,250.6,13.6,0.0,1.3,14.2,256.1,15.6,13.0,20.9,0.0,0.0,0.0
SL2,29:05:2017,54122.000,15:02:02.000,-03,32.3044139,-64.8442073,234.1,0.0,0.0,109.6,0.43,250.6,13.6,0.0,0.4,14.2,256.1,15.6,13.0,20.9,0.0,0.0,0.0
SL2,29:05:2017,54122.500,15:02:02.500,-03,32.3044110,-64.8442059,235.7,0.0,0.0,152.0,0.43,250.6,13.6,0.0,0.4,14.5,256.1,16.2,14.0,20.4,0.0,0.0,0.0
SL2,29:05:2017,54123.000,15:02:03.000,-03,32.3044081,-64.8442072,236.9,0.0,0.0,168.0,1.94,250.6,13.6,0.0,2.0,14.5,256.1,16.2,14.0,20.4,0.0,0.0,0.0
SL2,29:05:2017,54123.500,15:02:03.500,-03,32.3044093,-64.8442068,237.9,0.0,0.0,280.5,0.89,250.6,13.6,0.0,0.9,14.6,255.7,17.1,10.0,19.2,0.0,0.0,0.0
SL2,29:05:2017,54124.000,15:02:04.000,-03,32.3044070,-64.8442044,238.7,0.0,0.0,71.6,1.09,250.6,13.6,0.0,1.1,14.6,255.7,17.1,10.0,19.2,0.0,0.0,0.0
SL2,29:05:2017,54124.500,15:02:04.500,-03,32.3044040,-64.8442037,239.7,0.0,0.0,166.1,1.87,250.6,13.6,0.0,1.9,14.8,255.7,16.1,5.0,18.4,0.0,0.0,0.0
