Boat,Date,Secs,LocalTime,Zone,Lat,Lon,Hdg,Heel,Pitch,COG,SOG,CourseWindDirection,CourseWindSpeed,yHdg,ySpeed,yTWS,yTWD,yAWS,yAWA,yTWA,ySOG,yCOG,yRudder
FL2,28:05:2017,50702.500,14:05:02.500,-03,32.3168170,-64.8390818,253.0,0.0,0.0,223.5,1.61,253.7,10.6,0.0,1.6,7.4,236.3,6.2,-12.0,-25.6,0.0,0.0,0.0
FL2,28:05:2017,50703.000,14:05:03.000,-03,32.3168184,-64.8390822,252.6,0.0,0.0,330.0,0.29,245.2,10.2,0.0,0.3,7.4,235.1,7.7,-29.0,-26.1,0.0,0.0,0.0
FL2,28:05:2017,50703.500,14:05:03.500,-03,32.3168190,-64.8390825,252.4,0.0,0.0,338.9,0.41,245.4,10.2,0.0,0.4,7.4,235.1,7.7,-29.0,-26.1,0.0,0.0,0.0
FL2,28:05:2017,50704.000,14:05:04.000,-03,32.3168215,-64.8390833,252.1,0.0,0.0,22.4,0.25,245.4,10.2,0.0,0.3,7.3,234.7,6.0,-23.0,-26.0,0.0,0.0,0.0
FL2,28:05:2017,50704.500,14:05:04.500,-03,32.3168223,-64.8390858,252.5,0.0,0.0,327.0,1.42,245.5,10.2,0.0,1.4,7.3,234.7,6.0,-23.0,-26.0,0.0,0.0,0.0
FL2,28:05:2017,50705.000,14:05:05.000,-03,32.3168194,-64.8390857,253.0,0.0,0.0,228.2,0.89,245.6,10.2,0.0,0.9,7.1,234.7,6.4,-23.0,-25.6,0.0,0.0,0.0
FL2,28:05:2017,50705.500,14:05:05.500,-03,32.3168206,-64.8390858,253.0,0.0,0.0,154.4,1.22,245.7,10.2,0.0,1.2,7.1,234.7,6.4,-23.0,-25.6,0.0,0.0,0.0
FL2,28:05:2017,50706.000,14:05:06.000,-03,32.3168260,-64.8390885,253.0,0.0,0.0,342.2,2.60,245.7,10.2,0.0,2.6,7.2,231.6,6.6,-36.0,-28.1,0.0,0.0,0.0
FL2,28:05:2017,50706.500,14:05:06.500,-03,32.3168224,-64.8390890,253.3,0.0,0.0,318.7,1.28,245.7,10.1,0.0,1.3,7.2,231.6,6.6,-36.0,-28.1,0.0,0.0,0.0
FL2,28:05:2017,50707.000,14:05:07.000,-03,32.3168198,-64.8390899,253.4,0.0,0.0,177.5,2.94,245.8,10.1,0.0,2.9,7.1,235.9,6.3,-9.0,-23.5,0.0,0.0,0.0
FL2,28:05:2017,50707.500,14:05:07.500,-03,32.3168258,-64.8390908,253.0,0.0,0.0,334.8,1.28,245.8,10.1,0.0,1.3,7.1,235.9,6.3,-9.0,-23.5,0.0,0.0,0.0
FL2,28:05:2017,50708.000,14:05:08.000,-03,32.3168280,-64.8390919,252.6,0.0,0.0,357.7,2.84,245.8,10.1,0.0,2.9,7.1,234.6,5.4,-10.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50708.500,14:05:08.500,-03,32.3168235,-64.8390935,252.7,0.0,0.0,207.2,1.21,245.8,10.1,0.0,1.2,7.1,234.6,5.4,-10.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50709.000,14:05:09.000,-03,32.3168219,-64.8390937,252.6,0.0,0.0,192.3,2.02,245.8,10.1,0.0,2.0,6.9,234.7,6.9,-32.0,-23.9,0.0,0.0,0.0
FL2,28:05:2017,50709.500,14:05:09.500,-03,32.3168273,-64.8390950,252.6,0.0,0.0,354.8,1.09,245.8,10.0,0.0,1.1,6.9,234.7,6.9,-32.0,-23.9,0.0,0.0,0.0
FL2,28:05:2017,50710.000,14:05:10.000,-03,32.3168296,-64.8390966,252.7,0.0,0.0,345.9,2.80,245.8,10.0,0.0,2.8,7.0,233.1,6.4,-16.0,-25.2,0.0,0.0,0.0
FL2,28:05:2017,50710.500,14:05:10.500,-03,32.3168266,-64.8390971,252.3,0.0,0.0,202.6,0.97,245.7,10.0,0.0,1.0,7.0,233.1,6.4,-16.0,-25.2,0.0,0.0,0.0
FL2,28:05:2017,50711.000,14:05:11.000,-03,32.3168254,-64.8390973,251.8,0.0,0.0,177.8,1.50,245.7,10.0,0.0,1.5,6.9,234.3,6.6,-21.0,-23.5,0.0,0.0,0.0
FL2,28:05:2017,50711.500,14:05:11.500,-03,32.3168283,-64.8390987,251.7,0.0,0.0,332.7,0.78,245.6,10.0,0.0,0.8,6.9,234.3,6.6,-21.0,-23.5,0.0,0.0,0.0
FL2,28:05:2017,50712.000,14:05:12.000,-03,32.3168299,-64.8391002,252.0,0.0,0.0,332.6,1.59,245.5,9.9,0.0,1.6,6.9,233.2,7.0,-19.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50712.500,14:05:12.500,-03,32.3168306,-64.8391010,251.9,0.0,0.0,315.0,0.49,245.5,9.9,0.0,0.5,6.9,233.2,7.0,-19.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50713.000,14:05:13.000,-03,32.3168299,-64.8391009,251.2,0.0,0.0,293.4,0.12,245.4,9.9,0.0,0.1,7.0,233.3,7.3,-19.0,-23.9,0.0,0.0,0.0
FL2,28:05:2017,50713.500,14:05:13.500,-03,32.3168299,-64.8391031,250.8,0.0,0.0,193.3,0.56,245.2,9.9,0.0,0.6,7.0,233.3,7.3,-19.0,-23.9,0.0,0.0,0.0
FL2,28:05:2017,50714.000,14:05:14.000,-03,32.3168310,-64.8391039,250.6,0.0,0.0,287.3,1.03,245.1,9.8,0.0,1.0,7.1,231.9,8.5,-28.0,-25.0,0.0,0.0,0.0
FL2,28:05:2017,50714.500,14:05:14.500,-03,32.3168342,-64.8391043,250.3,0.0,0.0,20.9,0.70,245.0,9.8,0.0,0.7,7.1,231.9,8.5,-28.0,-25.0,0.0,0.0,0.0
FL2,28:05:2017,50715.000,14:05:15.000,-03,32.3168340,-64.8391057,250.2,0.0,0.0,339.5,1.61,244.9,9.8,0.0,1.6,7.4,231.4,9.7,-17.0,-25.0,0.0,0.0,0.0
FL2,28:05:2017,50715.500,14:05:15.500,-03,32.3168309,-64.8391061,249.9,0.0,0.0,187.3,1.94,244.8,9.8,0.0,1.9,7.4,231.4,9.7,-17.0,-25.0,0.0,0.0,0.0
FL2,28:05:2017,50716.000,14:05:16.000,-03,32.3168340,-64.8391080,250.0,0.0,0.0,245.5,0.39,244.6,9.8,0.0,0.4,7.8,230.2,11.9,-32.0,-25.8,0.0,0.0,0.0
FL2,28:05:2017,50716.500,14:05:16.500,-03,32.3168382,-64.8391079,250.1,0.0,0.0,344.8,2.45,244.4,9.7,0.0,2.5,7.8,230.2,11.9,-32.0,-25.8,0.0,0.0,0.0
FL2,28:05:2017,50717.000,14:05:17.000,-03,32.3168361,-64.8391080,250.1,0.0,0.0,42.4,0.60,244.2,9.7,0.0,0.6,8.2,231.4,11.5,-10.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50717.500,14:05:17.500,-03,32.3168351,-64.8391100,249.8,0.0,0.0,194.8,1.85,244.1,9.7,0.0,1.9,8.2,231.4,11.5,-10.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50718.000,14:05:18.000,-03,32.3168389,-64.8391103,249.0,0.0,0.0,337.7,1.24,243.9,9.7,0.0,1.3,8.8,230.7,13.1,-22.0,-24.6,0.0,0.0,0.0
FL2,28:05:2017,50718.500,14:05:18.500,-03,32.3168407,-64.8391106,248.6,0.0,0.0,357.6,1.50,243.6,9.7,0.0,1.5,8.8,230.7,13.1,-22.0,-24.6,0.0,0.0,0.0
FL2,28:05:2017,50719.000,14:05:19.000,-03,32.3168399,-64.8391111,248.6,0.0,0.0,310.2,0.23,243.4,9.6,0.0,0.2,9.1,230.7,12.0,-20.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50719.500,14:05:19.500,-03,32.3168406,-64.8391125,248.3,0.0,0.0,203.6,0.68,243.2,9.6,0.0,0.7,9.1,230.7,12.0,-20.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50720.000,14:05:20.000,-03,32.3168434,-64.8391127,247.8,0.0,0.0,336.2,1.05,243.0,9.6,0.0,1.1,9.4,230.1,11.6,-20.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50720.500,14:05:20.500,-03,32.3168452,-64.8391120,247.3,0.0,0.0,20.0,1.05,242.7,9.6,0.0,1.1,9.4,230.1,11.6,-20.0,-24.3,0.0,0.0,0.0
FL2,28:05:2017,50721.000,14:05:21.000,-03,32.3168451,-64.8391132,247.3,0.0,0.0,341.0,0.68,242.5,9.6,0.0,0.7,9.4,229.6,9.3,-21.0,-24.4,0.0,0.0,0.0
FL2,28:05:2017,50721.500,14:05:21.500,-03,32.3168456,-64.8391142,246.9,0.0,0.0,224.8,0.64,242.2,9.6,0.0,0.6,9.4,229.6,9.3,-21.0,-24.4,0.0,0.0,0.0
FL2,28:05:2017,50722.000,14:05:22.000,-03,32.3168491,-64.8391168,246.3,0.0,0.0,329.0,1.48,241.9,9.6,0.0,1.5,9.5,228.7,10.3,-20.0,-24.7,0.0,0.0,0.0
FL2,28:05:2017,50722.500,14:05:22.500,-03,32.3168495,-64.8391158,245.4,0.0,0.0,329.6,1.38,241.6,9.6,0.0,1.4,9.5,228.7,10.3,-20.0,-24.7,0.0,0.0,0.0
FL2,28:05:2017,50723.000,14:05:23.000,-03,32.3168484,-64.8391148,244.0,0.0,0.0,127.6,1.40,241.3,9.5,0.0,1.4,9.6,229.6,10.1,-16.0,-23.1,0.0,0.0,0.0
FL2,28:05:2017,50723.500,14:05:23.500,-03,32.3168517,-64.8391175,242.3,0.0,0.0,294.1,0.49,240.9,9.5,0.0,0.5,9.6,229.6,10.1,-16.0,-23.1,0.0,0.0,0.0
FL2,28:05:2017,50724.000,14:05:24.000,-03,32.3168544,-64.8391219,241.1,0.0,0.0,324.2,2.74,240.7,9.5,0.0,2.7,9.7,228.3,10.2,-11.0,-23.4,0.0,0.0,0.0
FL2,28:05:2017,50724.500,14:05:24.500,-03,32.3168528,-64.8391223,239.8,0.0,0.0,275.1,1.34,240.4,9.5,0.0,1.3,9.7,228.3,10.2,-11.0,-23.4,0.0,0.0,0.0
FL2,28:05:2017,50725.000,14:05:25.000,-03,32.3168509,-64.8391202,238.0,0.0,0.0,143.5,1.50,240.1,9.5,0.0,1.5,9.9,229.6,10.9,-6.0,-20.8,0.0,0.0,0.0
FL2,28:05:2017,50725.500,14:05:25.500,-03,32.3168543,-64.8391225,236.0,0.0,0.0,119.4,0.43,239.7,9.5,0.0,0.4,9.9,229.6,10.9,-6.0,-20.8,0.0,0.0,0.0
FL2,28:05:2017,50726.000,14:05:26.000,-03,32.3168583,-64.8391282,234.9,0.0,0.0,324.6,3.25,239.4,9.5,0.0,3.3,9.8,228.3,9.0,1.0,-20.7,0.0,0.0,0.0
FL2,28:05:2017,50726.500,14:05:26.500,-03,32.3168555,-64.8391284,234.0,0.0,0.0,269.6,1.56,239.1,9.5,0.0,1.6,9.8,228.3,9.0,1.0,-20.7,0.0,0.0,0.0
FL2,28:05:2017,50727.000,14:05:27.000,-03,32.3168528,-64.8391261,232.6,0.0,0.0,147.3,2.20,238.7,9.5,0.0,2.2,9.9,231.5,10.0,14.0,-16.0,0.0,0.0,0.0
FL2,28:05:2017,50727.500,14:05:27.500,-03,32.3168548,-64.8391284,230.7,0.0,0.0,145.9,0.82,238.3,9.5,0.0,0.8,9.9,231.5,10.0,14.0,-16.0,0.0,0.0,0.0
FL2,28:05:2017,50728.000,14:05:28.000,-03,32.3168587,-64.8391328,229.2,0.0,0.0,318.4,2.62,238.0,9.5,0.0,2.6,9.7,231.2,8.0,17.0,-14.6,0.0,0.0,0.0
FL2,28:05:2017,50728.500,14:05:28.500,-03,32.3168562,-64.8391328,227.8,0.0,0.0,294.8,0.86,237.6,9.5,0.0,0.9,9.7,231.2,8.0,17.0,-14.6,0.0,0.0,0.0
FL2,28:05:2017,50729.000,14:05:29.000,-03,32.3168541,-64.8391328,226.2,0.0,0.0,173.8,1.73,237.3,9.5,0.0,1.7,9.5,234.4,8.1,23.0,-9.6,0.0,0.0,0.0
FL2,28:05:2017,50729.500,14:05:29.500,-03,32.3168553,-64.8391326,224.1,0.0,0.0,153.8,0.21,236.9,9.5,0.0,0.2,9.5,234.4,8.1,23.0,-9.6,0.0,0.0,0.0
FL2,28:05:2017,50730.000,14:05:30.000,-03,32.3168584,-64.8391349,222.5,0.0,0.0,7.5,0.93,236.6,9.5,0.0,0.9,9.3,235.2,6.7,26.0,-6.7,0.0,0.0,0.0
FL2,28:05:2017,50730.500,14:05:30.500,-03,32.3168575,-64.8391370,221.7,0.0,0.0,312.4,1.46,236.3,9.5,0.0,1.5,9.3,235.2,6.7,26.0,-6.7,0.0,0.0,0.0
FL2,28:05:2017,50731.000,14:05:31.000,-03,32.3168527,-64.8391356,221.1,0.0,0.0,190.5,1.77,235.9,9.5,0.0,1.8,9.1,239.4,7.5,40.0,-0.7,0.0,0.0,0.0
FL2,28:05:2017,50731.500,14:05:31.500,-03,32.3168538,-64.8391341,220.2,0.0,0.0,145.0,1.83,235.6,9.5,0.0,1.8,9.1,239.4,7.5,40.0,-0.7,0.0,0.0,0.0
FL2,28:05:2017,50732.000,14:05:32.000,-03,32.3168589,-64.8391372,219.4,0.0,0.0,352.4,2.06,235.3,9.5,0.0,2.1,8.9,238.6,6.8,25.0,0.3,0.0,0.0,0.0
FL2,28:05:2017,50732.500,14:05:32.500,-03,32.3168568,-64.8391385,219.7,0.0,0.0,311.0,1.92,235.0,9.5,0.0,1.9,8.9,238.6,6.8,25.0,0.3,0.0,0.0,0.0
FL2,28:05:2017,50733.000,14:05:33.000,-03,32.3168525,-64.8391359,219.2,0.0,0.0,166.0,2.76,234.7,9.5,0.0,2.8,8.9,242.8,8.1,39.0,6.0,0.0,0.0,0.0
FL2,28:05:2017,50733.500,14:05:33.500,-03,32.3168555,-64.8391354,218.4,0.0,0.0,96.7,0.66,234.4,9.6,0.0,0.7,8.9,242.8,8.1,39.0,6.0,0.0,0.0,0.0
FL2,28:05:2017,50734.000,14:05:34.000,-03,32.3168563,-64.8391368,217.6,0.0,0.0,345.9,1.89,234.1,9.6,0.0,1.9,8.8,242.0,7.3,29.0,6.9,0.0,0.0,0.0
FL2,28:05:2017,50734.500,14:05:34.500,-03,32.3168538,-64.8391370,216.8,0.0,0.0,208.8,1.09,233.9,9.6,0.0,1.1,8.8,242.0,7.3,29.0,6.9,0.0,0.0,0.0
FL2,28:05:2017,50735.000,14:05:35.000,-03,32.3168540,-64.8391364,215.5,0.0,0.0,159.3,0.93,233.7,9.6,0.0,0.9,8.7,243.2,7.6,30.0,9.9,0.0,0.0,0.0
FL2,28:05:2017,50735.500,14:05:35.500,-03,32.3168568,-64.8391356,214.0,0.0,0.0,11.4,0.95,233.3,9.6,0.0,1.0,8.7,243.2,7.6,30.0,9.9,0.0,0.0,0.0
FL2,28:05:2017,50736.000,14:05:36.000,-03,32.3168553,-64.8391338,212.1,0.0,0.0,60.5,1.11,233.1,9.7,0.0,1.1,8.6,245.0,7.2,50.0,13.6,0.0,0.0,0.0
FL2,28:05:2017,50736.500,14:05:36.500,-03,32.3168530,-64.8391366,210.1,0.0,0.0,173.5,1.83,232.9,9.7,0.0,1.8,8.6,245.0,7.2,50.0,13.6,0.0,0.0,0.0
FL2,28:05:2017,50737.000,14:05:37.000,-03,32.3168549,-64.8391369,207.9,0.0,0.0,272.4,1.26,232.6,9.7,0.0,1.3,8.5,245.6,8.6,44.0,16.4,0.0,0.0,0.0
FL2,28:05:2017,50737.500,14:05:37.500,-03,32.3168558,-64.8391323,205.4,0.0,0.0,56.9,1.73,232.4,9.7,0.0,1.7,8.5,245.6,8.6,44.0,16.4,0.0,0.0,0.0
FL2,28:05:2017,50738.000,14:05:38.000,-03,32.3168550,-64.8391336,203.2,0.0,0.0,104.2,1.34,232.3,9.8,0.0,1.3,8.4,246.9,6.0,49.0,20.2,0.0,0.0,0.0
FL2,28:05:2017,50738.500,14:05:38.500,-03,32.3168553,-64.8391382,202.0,0.0,0.0,264.4,1.79,232.0,9.8,0.0,1.8,8.4,246.9,6.0,49.0,20.2,0.0,0.0,0.0
FL2,28:05:2017,50739.000,14:05:39.000,-03,32.3168538,-64.8391339,200.9,0.0,0.0,268.5,0.86,231.8,9.8,0.0,0.9,8.4,247.2,9.2,48.0,22.8,0.0,0.0,0.0
FL2,28:05:2017,50739.500,14:05:39.500,-03,32.3168548,-64.8391292,200.0,0.0,0.0,101.2,3.46,231.7,9.8,0.0,3.5,8.4,247.2,9.2,48.0,22.8,0.0,0.0,0.0
FL2,28:05:2017,50740.000,14:05:40.000,-03,32.3168554,-64.8391341,200.5,0.0,0.0,339.1,1.19,231.5,9.9,0.0,1.2,8.2,245.8,6.0,43.0,23.7,0.0,0.0,0.0
FL2,28:05:2017,50740.500,14:05:40.500,-03,32.3168537,-64.8391338,201.7,0.0,0.0,248.8,2.31,231.4,9.9,0.0,2.3,8.2,245.8,6.0,43.0,23.7,0.0,0.0,0.0
FL2,28:05:2017,50741.000,14:05:41.000,-03,32.3168543,-64.8391280,201.8,0.0,0.0,91.3,2.33,231.2,9.9,0.0,2.4,8.4,246.9,8.6,47.0,26.5,0.0,0.0,0.0
FL2,28:05:2017,50741.500,14:05:41.500,-03,32.3168544,-64.8391297,201.8,0.0,0.0,71.6,0.78,231.1,9.9,0.0,0.8,8.4,246.9,8.6,47.0,26.5,0.0,0.0,0.0
FL2,28:05:2017,50742.000,14:05:42.000,-03,32.3168554,-64.8391307,201.6,0.0,0.0,277.8,1.54,230.9,10.0,0.0,1.5,8.1,246.7,6.2,48.0,27.8,0.0,0.0,0.0
FL2,28:05:2017,50742.500,14:05:42.500,-03,32.3168539,-64.8391267,200.4,0.0,0.0,78.3,1.01,230.8,10.0,0.0,1.0,8.1,246.7,6.2,48.0,27.8,0.0,0.0,0.0
FL2,28:05:2017,50743.000,14:05:43.000,-03,32.3168527,-64.8391259,199.2,0.0,0.0,130.4,2.06,230.6,10.0,0.0,2.1,8.0,247.8,6.5,42.0,30.7,0.0,0.0,0.0
FL2,28:05:2017,50743.500,14:05:43.500,-03,32.3168553,-64.8391286,198.2,0.0,0.0,318.9,0.80,230.5,10.0,0.0,0.8,8.0,247.8,6.5,42.0,30.7,0.0,0.0,0.0
FL2,28:05:2017,50744.000,14:05:44.000,-03,32.3168554,-64.8391261,197.1,0.0,0.0,336.7,0.95,230.4,10.1,0.0,1.0,8.1,247.7,8.5,54.0,32.4,0.0,0.0,0.0
FL2,28:05:2017,50744.500,14:05:44.500,-03,32.3168543,-64.8391233,195.8,0.0,0.0,108.6,2.00,230.3,10.1,0.0,2.0,8.1,247.7,8.5,54.0,32.4,0.0,0.0,0.0
FL2,28:05:2017,50745.000,14:05:45.000,-03,32.3168538,-64.8391244,194.8,0.0,0.0,151.9,0.29,230.2,10.1,0.0,0.3,8.0,247.7,7.4,49.0,34.3,0.0,0.0,0.0
FL2,28:05:2017,50745.500,14:05:45.500,-03,32.3168543,-64.8391252,194.0,0.0,0.0,252.1,0.72,230.1,10.1,0.0,0.7,8.0,247.7,7.4,49.0,34.3,0.0,0.0,0.0
FL2,28:05:2017,50746.000,14:05:46.000,-03,32.3168548,-64.8391230,193.1,0.0,0.0,36.6,0.49,230.0,10.1,0.0,0.5,8.1,247.2,9.0,49.0,35.6,0.0,0.0,0.0
FL2,28:05:2017,50746.500,14:05:46.500,-03,32.3168535,-64.8391208,192.3,0.0,0.0,96.8,1.30,229.9,10.1,0.0,1.3,8.1,247.2,9.0,49.0,35.6,0.0,0.0,0.0
FL2,28:05:2017,50747.000,14:05:47.000,-03,32.3168539,-64.8391206,191.7,0.0,0.0,142.6,0.87,229.7,10.2,0.0,0.9,8.1,247.2,7.5,46.0,37.3,0.0,0.0,0.0
FL2,28:05:2017,50747.500,14:05:47.500,-03,32.3168545,-64.8391217,191.3,0.0,0.0,346.6,0.86,229.7,10.2,0.0,0.9,8.1,247.2,7.5,46.0,37.3,0.0,0.0,0.0
FL2,28:05:2017,50748.000,14:05:48.000,-03,32.3168532,-64.8391197,191.3,0.0,0.0,230.3,0.35,229.6,10.2,0.0,0.4,8.0,246.9,7.7,50.0,38.7,0.0,0.0,0.0
FL2,28:05:2017,50748.500,14:05:48.500,-03,32.3168506,-64.8391167,190.9,0.0,0.0,125.1,1.89,229.5,10.2,0.0,1.9,8.0,246.9,7.7,50.0,38.7,0.0,0.0,0.0
FL2,28:05:2017,50749.000,14:05:49.000,-03,32.3168527,-64.8391181,190.4,0.0,0.0,150.1,0.54,229.4,10.2,0.0,0.5,7.9,244.6,6.5,26.0,37.8,0.0,0.0,0.0
FL2,28:05:2017,50749.500,14:05:49.500,-03,32.3168533,-64.8391191,190.4,0.0,0.0,335.8,1.79,229.3,10.2,0.0,1.8,7.9,244.6,6.5,26.0,37.8,0.0,0.0,0.0
FL2,28:05:2017,50750.000,14:05:50.000,-03,32.3168495,-64.8391153,190.8,0.0,0.0,161.8,1.34,229.2,10.2,0.0,1.3,7.6,244.9,5.5,40.0,39.5,0.0,0.0,0.0
FL2,28:05:2017,50750.500,14:05:50.500,-03,32.3168491,-64.8391132,191.0,0.0,0.0,123.0,2.14,229.1,10.2,0.0,2.2,7.6,244.9,5.5,40.0,39.5,0.0,0.0,0.0
FL2,28:05:2017,50751.000,14:05:51.000,-03,32.3168509,-64.8391163,191.8,0.0,0.0,318.4,1.22,229.0,10.2,0.0,1.2,7.4,241.3,5.3,26.0,36.8,0.0,0.0,0.0
FL2,28:05:2017,50751.500,14:05:51.500,-03,32.3168478,-64.8391147,193.0,0.0,0.0,274.8,0.86,229.0,10.2,0.0,0.9,7.4,241.3,5.3,26.0,36.8,0.0,0.0,0.0
FL2,28:05:2017,50752.000,14:05:52.000,-03,32.3168445,-64.8391102,193.6,0.0,0.0,143.7,2.84,228.8,10.2,0.0,2.9,7.3,242.9,5.8,33.0,39.2,0.0,0.0,0.0
FL2,28:05:2017,50752.500,14:05:52.500,-03,32.3168476,-64.8391124,194.6,0.0,0.0,71.7,0.56,228.8,10.2,0.0,0.6,7.3,242.9,5.8,33.0,39.2,0.0,0.0,0.0
FL2,28:05:2017,50753.000,14:05:53.000,-03,32.3168480,-64.8391127,195.7,0.0,0.0,317.2,2.37,228.7,10.2,0.0,2.4,7.0,239.3,4.6,37.0,36.0,0.0,0.0,0.0
FL2,28:05:2017,50753.500,14:05:53.500,-03,32.3168425,-64.8391082,196.4,0.0,0.0,137.4,2.20,228.6,10.2,0.0,2.2,7.0,239.3,4.6,37.0,36.0,0.0,0.0,0.0
FL2,28:05:2017,50754.000,14:05:54.000,-03,32.3168424,-64.8391082,196.9,0.0,0.0,146.8,2.41,228.5,10.2,0.0,2.4,6.8,239.4,5.2,13.0,36.5,0.0,0.0,0.0
FL2,28:05:2017,50754.500,14:05:54.500,-03,32.3168451,-64.8391108,197.3,0.0,0.0,320.9,1.96,228.4,10.2,0.0,2.0,6.8,239.4,5.2,13.0,36.5,0.0,0.0,0.0
FL2,28:05:2017,50755.000,14:05:55.000,-03,32.3168435,-64.8391083,197.8,0.0,0.0,316.2,0.56,228.4,10.2,0.0,0.6,6.6,239.6,5.2,47.0,36.9,0.0,0.0,0.0
FL2,28:05:2017,50755.500,14:05:55.500,-03,32.3168397,-64.8391040,197.7,0.0,0.0,130.3,2.70,228.2,10.2,0.0,2.7,6.6,239.6,5.2,47.0,36.9,0.0,0.0,0.0
FL2,28:05:2017,50756.000,14:05:56.000,-03,32.3168418,-64.8391060,197.7,0.0,0.0,149.5,0.87,228.2,10.2,0.0,0.9,6.4,237.7,4.2,9.0,35.3,0.0,0.0,0.0
FL2,28:05:2017,50756.500,14:05:56.500,-03,32.3168444,-64.8391081,197.9,0.0,0.0,327.9,2.35,228.1,10.2,0.0,2.4,6.4,237.7,4.2,9.0,35.3,0.0,0.0,0.0
FL2,28:05:2017,50757.000,14:05:57.000,-03,32.3168402,-64.8391053,198.6,0.0,0.0,198.5,0.39,228.0,10.1,0.0,0.4,6.3,240.4,6.2,59.0,38.0,0.0,0.0,0.0
FL2,28:05:2017,50757.500,14:05:57.500,-03,32.3168372,-64.8391017,198.8,0.0,0.0,144.6,3.30,227.9,10.1,0.0,3.3,6.3,240.4,6.2,59.0,38.0,0.0,0.0,0.0
FL2,28:05:2017,50758.000,14:05:58.000,-03,32.3168406,-64.8391027,199.2,0.0,0.0,40.1,0.56,227.8,10.1,0.0,0.6,6.4,239.3,6.7,28.0,36.9,0.0,0.0,0.0
FL2,28:05:2017,50758.500,14:05:58.500,-03,32.3168423,-64.8391041,199.7,0.0,0.0,340.1,1.90,227.7,10.1,0.0,1.9,6.4,239.3,6.7,28.0,36.9,0.0,0.0,0.0
FL2,28:05:2017,50759.000,14:05:59.000,-03,32.3168391,-64.8391022,200.5,0.0,0.0,206.0,0.41,227.6,10.1,0.0,0.4,6.4,240.9,7.0,49.0,38.4,0.0,0.0,0.0
FL2,28:05:2017,50759.500,14:05:59.500,-03,32.3168360,-64.8390992,200.7,0.0,0.0,148.1,2.70,227.5,10.1,0.0,2.7,6.4,240.9,7.0,49.0,38.4,0.0,0.0,0.0
FL2,28:05:2017,50760.000,14:06:00.000,-03,32.3168385,-64.8390994,201.1,0.0,0.0,96.8,0.25,227.3,10.1,0.0,0.3,6.5,239.3,7.0,19.0,36.6,0.0,0.0,0.0
FL2,28:05:2017,50760.500,14:06:00.500,-03,32.3168406,-64.8390993,201.0,0.0,0.0,354.5,1.81,227.2,10.1,0.0,1.8,6.5,239.3,7.0,19.0,36.6,0.0,0.0,0.0
FL2,28:05:2017,50761.000,14:06:01.000,-03,32.3168379,-64.8390991,201.2,0.0,0.0,150.3,0.25,227.1,10.0,0.0,0.3,6.5,239.3,5.9,33.0,36.5,0.0,0.0,0.0
FL2,28:05:2017,50761.500,14:06:01.500,-03,32.3168346,-64.8390981,201.7,0.0,0.0,177.4,1.75,227.0,10.0,0.0,1.8,6.5,239.3,5.9,33.0,36.5,0.0,0.0,0.0
FL2,28:05:2017,50762.000,14:06:02.000,-03,32.3168354,-64.8390961,201.9,0.0,0.0,131.8,1.03,226.9,10.0,0.0,1.0,6.4,237.8,6.4,9.0,34.7,0.0,0.0,0.0
FL2,28:05:2017,50762.500,14:06:02.500,-03,32.3168379,-64.8390952,202.0,0.0,0.0,12.9,1.15,226.8,10.0,0.0,1.2,6.4,237.8,6.4,9.0,34.7,0.0,0.0,0.0
FL2,28:05:2017,50763.000,14:06:03.000,-03,32.3168362,-64.8390963,202.3,0.0,0.0,23.2,0.72,226.7,10.0,0.0,0.7,6.4,236.7,5.4,25.0,33.4,0.0,0.0,0.0
FL2,28:05:2017,50763.500,14:06:03.500,-03,32.3168320,-64.8390972,203.0,0.0,0.0,215.9,2.16,226.6,10.0,0.0,2.2,6.4,236.7,5.4,25.0,33.4,0.0,0.0,0.0
FL2,28:05:2017,50764.000,14:06:04.000,-03,32.3168325,-64.8390926,203.1,0.0,0.0,135.4,1.69,226.4,10.0,0.0,1.7,6.6,236.4,8.3,16.0,32.8,0.0,0.0,0.0
FL2,28:05:2017,50764.500,14:06:04.500,-03,32.3168351,-64.8390933,203.9,0.0,0.0,49.1,1.96,226.3,9.9,0.0,2.0,6.6,236.4,8.3,16.0,32.8,0.0,0.0,0.0
FL2,28:05:2017,50765.000,14:06:05.000,-03,32.3168334,-64.8390943,205.7,0.0,0.0,286.0,1.48,226.2,9.9,0.0,1.5,6.5,235.7,6.4,31.0,31.5,0.0,0.0,0.0
FL2,28:05:2017,50765.500,14:06:05.500,-03,32.3168293,-64.8390907,206.0,0.0,0.0,152.8,2.04,226.1,9.9,0.0,2.0,6.5,235.7,6.4,31.0,31.5,0.0,0.0,0.0
